date,$MSFT,MSFT,Microsoft Stock,time
12/5/2017,0,49,30,18:18:00
12/5/2017,0,64,75,18:19:00
12/5/2017,0,57,67,18:20:00
12/5/2017,0,57,55,18:21:00
12/5/2017,0,89,61,18:22:00
12/5/2017,0,68,48,18:23:00
12/5/2017,0,76,43,18:24:00
12/5/2017,0,19,54,18:25:00
12/5/2017,0,71,19,18:26:00
12/5/2017,0,63,31,18:27:00
12/5/2017,0,57,37,18:28:00
12/5/2017,0,70,30,18:29:00
12/5/2017,0,38,6,18:30:00
12/5/2017,0,58,25,18:31:00
12/5/2017,0,69,36,18:32:00
12/5/2017,0,12,24,18:33:00
12/5/2017,0,88,12,18:34:00
12/5/2017,0,77,6,18:35:00
12/5/2017,0,64,44,18:36:00
12/5/2017,0,69,24,18:37:00
12/5/2017,0,26,50,18:38:00
12/5/2017,0,26,25,18:39:00
12/5/2017,0,76,74,18:40:00
12/5/2017,0,44,24,18:41:00
12/5/2017,0,70,18,18:42:00
12/5/2017,0,69,61,18:43:00
12/5/2017,0,83,31,18:44:00
12/5/2017,6,70,37,18:45:00
12/5/2017,0,37,24,18:46:00
12/5/2017,0,18,54,18:47:00
12/5/2017,0,13,25,18:48:00
12/5/2017,6,100,36,18:49:00
12/5/2017,0,25,49,18:50:00
12/5/2017,0,31,24,18:51:00
12/5/2017,0,56,48,18:52:00
12/5/2017,0,77,12,18:53:00
12/5/2017,0,63,37,18:54:00
12/5/2017,0,31,61,18:55:00
12/5/2017,0,37,60,18:56:00
12/5/2017,0,76,74,18:57:00
12/5/2017,0,83,37,18:58:00
12/5/2017,0,57,49,18:59:00
12/5/2017,0,39,13,19:00:00
12/5/2017,0,39,70,19:01:00
12/5/2017,0,26,25,19:02:00
12/5/2017,0,58,31,19:03:00
12/5/2017,6,83,25,19:04:00
12/5/2017,0,49,36,19:05:00
12/5/2017,0,41,40,19:06:00
12/5/2017,0,59,28,19:07:00
12/5/2017,0,65,46,19:08:00
12/5/2017,0,29,34,19:09:00
12/5/2017,0,62,60,19:10:00
12/5/2017,0,43,15,19:11:00
12/5/2017,0,72,50,19:12:00
12/5/2017,0,50,29,19:13:00
12/5/2017,0,47,77,19:14:00
12/5/2017,0,63,39,19:15:00
12/5/2017,0,83,38,19:16:00
